fiscal_year,quarter,master_project_code,role_category,employee_count,total_employees,percentage
2022,1,FPL791ST,Others,1,1,100.0
2022,1,FPL869HT,Management,2,23,8.7
2022,1,FPL869HT,Others,2,23,8.7
2022,1,FPL869HT,Technology,19,23,82.61
2022,1,FPL870ST,Business,2,29,6.9
2022,1,FPL870ST,Consulting,8,29,27.59
2022,1,FPL870ST,Management,1,29,3.45
2022,1,FPL870ST,Others,3,29,10.34
2022,1,FPL870ST,Technology,15,29,51.72
2022,1,FPLAMPZ3,Business,4,17,23.53
2022,1,FPLAMPZ3,Consulting,11,17,64.71
2022,1,FPLAMPZ3,Others,1,17,5.88
2022,1,FPLAMPZ3,Technology,1,17,5.88
2022,1,FPLARIOT,Consulting,2,15,13.33
2022,1,FPLARIOT,Management,1,15,6.67
2022,1,FPLARIOT,Others,1,15,6.67
2022,1,FPLARIOT,Technology,11,15,73.33
2022,1,FPLDCSTP,Management,1,3,33.33
2022,1,FPLDCSTP,Technology,2,3,66.67
2022,1,FPLDWPBR,Consulting,1,35,2.86
2022,1,FPLDWPBR,Management,3,35,8.57
2022,1,FPLDWPBR,Others,1,35,2.86
2022,1,FPLDWPBR,Technology,30,35,85.71
2022,1,FPLEDSTP,Consulting,1,4,25.0
2022,1,FPLEDSTP,Others,1,4,25.0
2022,1,FPLEDSTP,Technology,2,4,50.0
2022,1,FPLFHAD,Others,1,1,100.0
2022,1,FPLHRSP,Consulting,1,4,25.0
2022,1,FPLHRSP,Others,1,4,25.0
2022,1,FPLHRSP,Technology,2,4,50.0
2022,1,FPLINASC,Business,4,38,10.53
2022,1,FPLINASC,Consulting,8,38,21.05
2022,1,FPLINASC,Others,5,38,13.16
2022,1,FPLINASC,Technology,21,38,55.26
2022,1,FPLN945,Technology,1,1,100.0
2022,1,FPLNEASP,Business,1,3,33.33
2022,1,FPLNEASP,Consulting,1,3,33.33
2022,1,FPLNEASP,Others,1,3,33.33
2022,1,FPLNEESP,Consulting,3,7,42.86
2022,1,FPLNEESP,Technology,4,7,57.14
2022,1,FPLNSUB1,Others,1,1,100.0
2022,1,FPLNSUB2,Others,1,1,100.0
2022,1,FPLNSUB3,Others,1,1,100.0
2022,1,FPLONSCH,Management,2,14,14.29
2022,1,FPLONSCH,Technology,12,14,85.71
2022,1,FPLPMPH2,Consulting,4,5,80.0
2022,1,FPLPMPH2,Technology,1,5,20.0
2022,1,FPLPTHZ1,Technology,2,2,100.0
2022,1,FPLQUSTP,Consulting,4,4,100.0
2022,1,FPLSCSTP,Business,5,37,13.51
2022,1,FPLSCSTP,Consulting,11,37,29.73
2022,1,FPLSCSTP,Management,1,37,2.7
2022,1,FPLSCSTP,Others,2,37,5.41
2022,1,FPLSCSTP,Technology,18,37,48.65
2022,1,FPSNSSTP,Business,3,19,15.79
2022,1,FPSNSSTP,Consulting,6,19,31.58
2022,1,FPSNSSTP,Management,1,19,5.26
2022,1,FPSNSSTP,Others,3,19,15.79
2022,1,FPSNSSTP,Technology,6,19,31.58
2022,1,M11102MZ,Management,2,5,40.0
2022,1,M11102MZ,Technology,3,5,60.0
2022,1,MH101OPS,Consulting,6,13,46.15
2022,1,MH101OPS,Management,1,13,7.69
2022,1,MH101OPS,Others,1,13,7.69
2022,1,MH101OPS,Technology,5,13,38.46
2022,1,MH1100M1,Management,1,4,25.0
2022,1,MH1100M1,Technology,3,4,75.0
2022,1,MH1105M1,Business,1,18,5.56
2022,1,MH1105M1,Management,1,18,5.56
2022,1,MH1105M1,Technology,16,18,88.89
2022,1,MH1107M1,Technology,4,4,100.0
2022,1,MH1108M1,Technology,6,6,100.0
2022,1,MH1109M1,Technology,3,3,100.0
2022,1,MH1110D1,Technology,4,4,100.0
2022,1,MH1113M1,Management,1,4,25.0
2022,1,MH1113M1,Technology,3,4,75.0
2022,1,MH1114D1,Technology,9,9,100.0
2022,1,MH1118D1,Business,1,22,4.55
2022,1,MH1118D1,Consulting,2,22,9.09
2022,1,MH1118D1,Management,3,22,13.64
2022,1,MH1118D1,Others,3,22,13.64
2022,1,MH1118D1,Technology,13,22,59.09
2022,1,MH1119M1,Technology,2,2,100.0
2022,1,MH1126D1,Technology,2,2,100.0
2022,1,MH1129D1,Management,1,8,12.5
2022,1,MH1129D1,Technology,7,8,87.5
2022,1,MH1135D1,Technology,9,9,100.0
2022,1,MH1140D2,Management,1,9,11.11
2022,1,MH1140D2,Technology,8,9,88.89
2022,1,MH1140M2,Technology,6,6,100.0
2022,1,MH1142M1,Business,2,2,100.0
2022,1,MH1147D1,Consulting,1,9,11.11
2022,1,MH1147D1,Management,2,9,22.22
2022,1,MH1147D1,Technology,6,9,66.67
2022,1,MH1149M1,Technology,3,3,100.0
2022,1,MH1151M1,Business,1,4,25.0
2022,1,MH1151M1,Management,1,4,25.0
2022,1,MH1151M1,Technology,2,4,50.0
2022,1,MH1153M1,Management,2,7,28.57
2022,1,MH1153M1,Technology,5,7,71.43
2022,1,MH1154M1,Business,1,27,3.7
2022,1,MH1154M1,Management,2,27,7.41
2022,1,MH1154M1,Others,1,27,3.7
2022,1,MH1154M1,Technology,23,27,85.19
2022,1,MH1155M1,Business,2,46,4.35
2022,1,MH1155M1,Consulting,1,46,2.17
2022,1,MH1155M1,Management,2,46,4.35
2022,1,MH1155M1,Others,8,46,17.39
2022,1,MH1155M1,Technology,33,46,71.74
2022,1,MH1156M1,Business,1,6,16.67
2022,1,MH1156M1,Consulting,1,6,16.67
2022,1,MH1156M1,Management,1,6,16.67
2022,1,MH1156M1,Technology,3,6,50.0
2022,1,MH1159M1,Management,2,5,40.0
2022,1,MH1159M1,Technology,3,5,60.0
2022,1,MH1160M1,Business,1,39,2.56
2022,1,MH1160M1,Management,4,39,10.26
2022,1,MH1160M1,Others,3,39,7.69
2022,1,MH1160M1,Technology,31,39,79.49
2022,1,MH1165D1,Consulting,1,6,16.67
2022,1,MH1165D1,Management,1,6,16.67
2022,1,MH1165D1,Technology,4,6,66.67
2022,1,MH1167M1,Business,2,12,16.67
2022,1,MH1167M1,Consulting,1,12,8.33
2022,1,MH1167M1,Others,1,12,8.33
2022,1,MH1167M1,Technology,8,12,66.67
2022,1,MH1172M1,Consulting,1,5,20.0
2022,1,MH1172M1,Technology,4,5,80.0
2022,1,MH1178M1,Management,1,3,33.33
2022,1,MH1178M1,Technology,2,3,66.67
2022,1,MH1181M1,Management,1,7,14.29
2022,1,MH1181M1,Technology,6,7,85.71
2022,1,MH1188M1,Management,1,8,12.5
2022,1,MH1188M1,Technology,7,8,87.5
2022,1,MH1190M1,Technology,2,2,100.0
2022,1,MH127DM1,Technology,1,1,100.0
2022,1,MH165HM1,Management,1,2,50.0
2022,1,MH165HM1,Technology,1,2,50.0
2022,1,MH16DIZ1,Technology,2,2,100.0
2022,1,MH18RM26,Management,1,7,14.29
2022,1,MH18RM26,Others,1,7,14.29
2022,1,MH18RM26,Technology,5,7,71.43
2022,1,MH18RM27,Management,1,4,25.0
2022,1,MH18RM27,Technology,3,4,75.0
2022,1,MH18RM28,Management,1,5,20.0
2022,1,MH18RM28,Technology,4,5,80.0
2022,1,MH2355D2,Business,1,13,7.69
2022,1,MH2355D2,Management,3,13,23.08
2022,1,MH2355D2,Technology,9,13,69.23
2022,1,MH301HMZ,Business,24,248,9.68
2022,1,MH301HMZ,Consulting,31,248,12.5
2022,1,MH301HMZ,Management,26,248,10.48
2022,1,MH301HMZ,Others,7,248,2.82
2022,1,MH301HMZ,Technology,160,248,64.52
2022,1,MH315DM1,Management,1,2,50.0
2022,1,MH315DM1,Technology,1,2,50.0
2022,1,MH320HM1,Consulting,1,5,20.0
2022,1,MH320HM1,Management,2,5,40.0
2022,1,MH320HM1,Technology,2,5,40.0
2022,1,MH345SDE,Others,8,10,80.0
2022,1,MH345SDE,Technology,2,10,20.0
2022,1,MH355HM1,Management,3,11,27.27
2022,1,MH355HM1,Others,1,11,9.09
2022,1,MH355HM1,Technology,7,11,63.64
2022,1,MH361HM1,Management,2,5,40.0
2022,1,MH361HM1,Technology,3,5,60.0
2022,1,MH367HM1,Technology,4,4,100.0
2022,1,MH369HM1,Management,3,18,16.67
2022,1,MH369HM1,Technology,15,18,83.33
2022,1,MH385HM1,Management,1,4,25.0
2022,1,MH385HM1,Technology,3,4,75.0
2022,1,MHAFFOPS,Consulting,2,4,50.0
2022,1,MHAFFOPS,Management,1,4,25.0
2022,1,MHAFFOPS,Technology,1,4,25.0
2022,1,MHBUSTMC,Consulting,1,11,9.09
2022,1,MHBUSTMC,Management,2,11,18.18
2022,1,MHBUSTMC,Others,1,11,9.09
2022,1,MHBUSTMC,Technology,7,11,63.64
2022,1,MHD76HMZ,Business,1,20,5.0
2022,1,MHD76HMZ,Consulting,2,20,10.0
2022,1,MHD76HMZ,Management,1,20,5.0
2022,1,MHD76HMZ,Technology,16,20,80.0
2022,1,MHEMEMH1,Business,1,7,14.29
2022,1,MHEMEMH1,Management,2,7,28.57
2022,1,MHEMEMH1,Technology,4,7,57.14
2022,1,MHOJPCS,Others,1,1,100.0
2022,1,MNILAMC4,Management,1,22,4.55
2022,1,MNILAMC4,Others,21,22,95.45
2022,1,MO1125MZ,Consulting,1,1,100.0
2022,1,MOESADMZ,Business,5,46,10.87
2022,1,MOESADMZ,Consulting,19,46,41.3
2022,1,MOESADMZ,Management,2,46,4.35
2022,1,MOESADMZ,Others,5,46,10.87
2022,1,MOESADMZ,Technology,15,46,32.61
2022,1,MOLADAM2,Consulting,2,18,11.11
2022,1,MOLADAM2,Others,1,18,5.56
2022,1,MOLADAM2,Technology,15,18,83.33
2022,1,MOLAMAM2,Business,44,552,7.97
2022,1,MOLAMAM2,Consulting,70,552,12.68
2022,1,MOLAMAM2,Management,43,552,7.79
2022,1,MOLAMAM2,Others,24,552,4.35
2022,1,MOLAMAM2,Technology,371,552,67.21
2022,1,MOLASMZ1,Business,1,42,2.38
2022,1,MOLASMZ1,Consulting,11,42,26.19
2022,1,MOLASMZ1,Management,2,42,4.76
2022,1,MOLASMZ1,Technology,28,42,66.67
2022,1,MOLAVBA2,Consulting,1,1,100.0
2022,1,MOLAZSTP,Consulting,3,4,75.0
2022,1,MOLAZSTP,Technology,1,4,25.0
2022,1,MOLBADCG,Technology,1,1,100.0
2022,1,MOLBAMD1,Others,1,1,100.0
2022,1,MOLCOUAZ,Technology,1,1,100.0
2022,1,MOLDCBA1,Others,1,1,100.0
2022,1,MOLDCBA2,Consulting,2,3,66.67
2022,1,MOLDCBA2,Others,1,3,33.33
2022,1,MOLDCBA3,Consulting,4,5,80.0
2022,1,MOLDCBA3,Others,1,5,20.0
2022,1,MOLDCPM1,Consulting,1,1,100.0
2022,1,MOLFPADO,Business,1,14,7.14
2022,1,MOLFPADO,Consulting,7,14,50.0
2022,1,MOLFPADO,Technology,6,14,42.86
2022,1,MOLFPAKS,Management,1,6,16.67
2022,1,MOLFPAKS,Technology,5,6,83.33
2022,1,MOLFPMCC,Consulting,15,55,27.27
2022,1,MOLFPMCC,Management,2,55,3.64
2022,1,MOLFPMCC,Others,3,55,5.45
2022,1,MOLFPMCC,Technology,35,55,63.64
2022,1,MOLFPMPI,Consulting,3,3,100.0
2022,1,MOLFPNHL,Consulting,2,3,66.67
2022,1,MOLFPNHL,Technology,1,3,33.33
2022,1,MOLFPOCL,Consulting,1,2,50.0
2022,1,MOLFPOCL,Others,1,2,50.0
2022,1,MOLFPODS,Consulting,2,7,28.57
2022,1,MOLFPODS,Others,1,7,14.29
2022,1,MOLFPODS,Technology,4,7,57.14
2022,1,MOLFPOHE,Consulting,7,8,87.5
2022,1,MOLFPOHE,Technology,1,8,12.5
2022,1,MOLFPTXC,Business,3,17,17.65
2022,1,MOLFPTXC,Consulting,3,17,17.65
2022,1,MOLFPTXC,Others,1,17,5.88
2022,1,MOLFPTXC,Technology,10,17,58.82
2022,1,MOLFPWGS,Technology,1,1,100.0
2022,1,MOLHELIC,Technology,1,1,100.0
2022,1,MOLHSPMZ,Consulting,1,2,50.0
2022,1,MOLHSPMZ,Technology,1,2,50.0
2022,1,MOLINFCH,Consulting,1,1,100.0
2022,1,MOLINFMO,Business,4,117,3.42
2022,1,MOLINFMO,Consulting,21,117,17.95
2022,1,MOLINFMO,Management,3,117,2.56
2022,1,MOLINFMO,Others,16,117,13.68
2022,1,MOLINFMO,Technology,73,117,62.39
2022,1,MOLINFOP,Business,10,344,2.91
2022,1,MOLINFOP,Consulting,102,344,29.65
2022,1,MOLINFOP,Management,27,344,7.85
2022,1,MOLINFOP,Others,27,344,7.85
2022,1,MOLINFOP,Technology,178,344,51.74
2022,1,MOLINFPN,Business,2,18,11.11
2022,1,MOLINFPN,Consulting,6,18,33.33
2022,1,MOLINFPN,Management,4,18,22.22
2022,1,MOLINFPN,Technology,6,18,33.33
2022,1,MOLMPHMZ,Consulting,6,14,42.86
2022,1,MOLMPHMZ,Technology,8,14,57.14
2022,1,MOLMPMZ1,Consulting,1,3,33.33
2022,1,MOLMPMZ1,Technology,2,3,66.67
2022,1,MOLSASTP,Consulting,1,2,50.0
2022,1,MOLSASTP,Technology,1,2,50.0
2022,1,MOLSFISP,Consulting,3,3,100.0
2022,1,MOLSFLIC,Consulting,2,5,40.0
2022,1,MOLSFLIC,Management,1,5,20.0
2022,1,MOLSFLIC,Technology,2,5,40.0
2022,1,MOLSPMOH,Consulting,3,16,18.75
2022,1,MOLSPMOH,Management,3,16,18.75
2022,1,MOLSPMOH,Technology,10,16,62.5
2022,1,MOSFMOZ1,Business,3,14,21.43
2022,1,MOSFMOZ1,Consulting,5,14,35.71
2022,1,MOSFMOZ1,Management,1,14,7.14
2022,1,MOSFMOZ1,Technology,5,14,35.71
2022,1,MOSFMZIA,Consulting,2,2,100.0
2022,1,MSABAPM1,Consulting,1,5,20.0
2022,1,MSABAPM1,Technology,4,5,80.0
2022,1,MSABAPP1,Technology,1,1,100.0
2022,1,MSABAPSP,Consulting,1,9,11.11
2022,1,MSABAPSP,Management,2,9,22.22
2022,1,MSABAPSP,Others,3,9,33.33
2022,1,MSABAPSP,Technology,3,9,33.33
2022,1,MSABPHZ3,Consulting,3,4,75.0
2022,1,MSABPHZ3,Technology,1,4,25.0
2022,1,MSACASTP,Management,2,23,8.7
2022,1,MSACASTP,Others,1,23,4.35
2022,1,MSACASTP,Technology,20,23,86.96
2022,1,MSACEHY1,Business,3,18,16.67
2022,1,MSACEHY1,Consulting,9,18,50.0
2022,1,MSACEHY1,Management,2,18,11.11
2022,1,MSACEHY1,Technology,4,18,22.22
2022,1,MSACEHY3,Business,6,61,9.84
2022,1,MSACEHY3,Consulting,24,61,39.34
2022,1,MSACEHY3,Others,6,61,9.84
2022,1,MSACEHY3,Technology,25,61,40.98
2022,1,MSACEHY4,Business,1,17,5.88
2022,1,MSACEHY4,Consulting,7,17,41.18
2022,1,MSACEHY4,Technology,9,17,52.94
2022,1,MSACEIL1,Business,3,8,37.5
2022,1,MSACEIL1,Consulting,3,8,37.5
2022,1,MSACEIL1,Technology,2,8,25.0
2022,1,MSACEMC1,Business,1,11,9.09
2022,1,MSACEMC1,Consulting,5,11,45.45
2022,1,MSACEMC1,Management,1,11,9.09
2022,1,MSACEMC1,Others,2,11,18.18
2022,1,MSACEMC1,Technology,2,11,18.18
2022,1,MSACEMC2,Consulting,3,6,50.0
2022,1,MSACEMC2,Technology,3,6,50.0
2022,1,MSACEPU1,Business,1,21,4.76
2022,1,MSACEPU1,Consulting,16,21,76.19
2022,1,MSACEPU1,Technology,4,21,19.05
2022,1,MSACEPU2,Consulting,3,3,100.0
2022,1,MSAGBD21,Business,1,30,3.33
2022,1,MSAGBD21,Consulting,1,30,3.33
2022,1,MSAGBD21,Management,2,30,6.67
2022,1,MSAGBD21,Technology,26,30,86.67
2022,1,MSAGBR21,Technology,6,6,100.0
2022,1,MSAIPBIC,Management,1,4,25.0
2022,1,MSAIPBIC,Technology,3,4,75.0
2022,1,MSAIPHYD,Business,2,63,3.17
2022,1,MSAIPHYD,Consulting,3,63,4.76
2022,1,MSAIPHYD,Management,5,63,7.94
2022,1,MSAIPHYD,Others,1,63,1.59
2022,1,MSAIPHYD,Technology,52,63,82.54
2022,1,MSAMT401,Consulting,2,3,66.67
2022,1,MSAMT401,Others,1,3,33.33
2022,1,MSASK302,Business,2,6,33.33
2022,1,MSASK302,Consulting,2,6,33.33
2022,1,MSASK302,Management,1,6,16.67
2022,1,MSASK302,Others,1,6,16.67
2022,1,MSASK403,Others,2,2,100.0
2022,1,MSATLPZ1,Business,1,11,9.09
2022,1,MSATLPZ1,Consulting,3,11,27.27
2022,1,MSATLPZ1,Management,1,11,9.09
2022,1,MSATLPZ1,Technology,6,11,54.55
2022,1,MSAZASDW,Consulting,1,10,10.0
2022,1,MSAZASDW,Management,1,10,10.0
2022,1,MSAZASDW,Others,1,10,10.0
2022,1,MSAZASDW,Technology,7,10,70.0
2022,1,MSAZMAPP,Consulting,3,12,25.0
2022,1,MSAZMAPP,Management,2,12,16.67
2022,1,MSAZMAPP,Others,2,12,16.67
2022,1,MSAZMAPP,Technology,5,12,41.67
2022,1,MSAZMKTP,Technology,1,1,100.0
2022,1,MSAZMLTA,Management,2,7,28.57
2022,1,MSAZMLTA,Technology,5,7,71.43
2022,1,MSAZNET1,Management,2,9,22.22
2022,1,MSAZNET1,Others,1,9,11.11
2022,1,MSAZNET1,Technology,6,9,66.67
2022,1,MSBISTRP,Others,1,1,100.0
2022,1,MSBMCHD,Business,1,6,16.67
2022,1,MSBMCHD,Technology,5,6,83.33
2022,1,MSBPCSST,Technology,3,3,100.0
2022,1,MSBPMSCT,Others,1,1,100.0
2022,1,MSBSP103,Consulting,1,2,50.0
2022,1,MSBSP103,Management,1,2,50.0
2022,1,MSBZS402,Consulting,2,11,18.18
2022,1,MSBZS402,Management,2,11,18.18
2022,1,MSBZS402,Others,1,11,9.09
2022,1,MSBZS402,Technology,6,11,54.55
2022,1,MSCAIMBP,Consulting,3,3,100.0
2022,1,MSCCAST1,Business,2,55,3.64
2022,1,MSCCAST1,Consulting,2,55,3.64
2022,1,MSCCAST1,Management,4,55,7.27
2022,1,MSCCAST1,Others,1,55,1.82
2022,1,MSCCAST1,Technology,46,55,83.64
2022,1,MSCDMSTP,Business,2,12,16.67
2022,1,MSCDMSTP,Consulting,4,12,33.33
2022,1,MSCDMSTP,Others,1,12,8.33
2022,1,MSCDMSTP,Technology,5,12,41.67
2022,1,MSCEHSTP,Business,2,163,1.23
2022,1,MSCEHSTP,Consulting,16,163,9.82
2022,1,MSCEHSTP,Management,11,163,6.75
2022,1,MSCEHSTP,Others,36,163,22.09
2022,1,MSCEHSTP,Technology,98,163,60.12
2022,1,MSCFPZQ1,Business,1,43,2.33
2022,1,MSCFPZQ1,Consulting,5,43,11.63
2022,1,MSCFPZQ1,Management,1,43,2.33
2022,1,MSCFPZQ1,Others,1,43,2.33
2022,1,MSCFPZQ1,Technology,35,43,81.4
2022,1,MSCFSENG,Business,6,66,9.09
2022,1,MSCFSENG,Consulting,2,66,3.03
2022,1,MSCFSENG,Management,2,66,3.03
2022,1,MSCFSENG,Others,3,66,4.55
2022,1,MSCFSENG,Technology,53,66,80.3
2022,1,MSCFSSRE,Consulting,1,3,33.33
2022,1,MSCFSSRE,Technology,2,3,66.67
2022,1,MSCGAHYD,Business,1,24,4.17
2022,1,MSCGAHYD,Consulting,4,24,16.67
2022,1,MSCGAHYD,Management,3,24,12.5
2022,1,MSCGAHYD,Others,1,24,4.17
2022,1,MSCGAHYD,Technology,15,24,62.5
2022,1,MSCIO501,Business,1,9,11.11
2022,1,MSCIO501,Consulting,3,9,33.33
2022,1,MSCIO501,Others,2,9,22.22
2022,1,MSCIO501,Technology,3,9,33.33
2022,1,MSCLDCH1,Technology,2,2,100.0
2022,1,MSCMAVS,Technology,1,1,100.0
2022,1,MSCMDMAH,Consulting,2,2,100.0
2022,1,MSCOBCH3,Business,1,15,6.67
2022,1,MSCOBCH3,Consulting,2,15,13.33
2022,1,MSCOBCH3,Management,1,15,6.67
2022,1,MSCOBCH3,Others,1,15,6.67
2022,1,MSCOBCH3,Technology,10,15,66.67
2022,1,MSCOG951,Consulting,1,2,50.0
2022,1,MSCOG951,Others,1,2,50.0
2022,1,MSCONCH1,Consulting,7,11,63.64
2022,1,MSCONCH1,Technology,4,11,36.36
2022,1,MSCONCH2,Consulting,1,14,7.14
2022,1,MSCONCH2,Technology,13,14,92.86
2022,1,MSCONHH3,Business,1,1,100.0
2022,1,MSCONHU3,Business,10,87,11.49
2022,1,MSCONHU3,Consulting,27,87,31.03
2022,1,MSCONHU3,Management,2,87,2.3
2022,1,MSCONHU3,Others,9,87,10.34
2022,1,MSCONHU3,Technology,39,87,44.83
2022,1,MSCONHY1,Business,1,15,6.67
2022,1,MSCONHY1,Consulting,4,15,26.67
2022,1,MSCONHY1,Management,5,15,33.33
2022,1,MSCONHY1,Others,1,15,6.67
2022,1,MSCONHY1,Technology,4,15,26.67
2022,1,MSCONHY2,Business,2,46,4.35
2022,1,MSCONHY2,Consulting,8,46,17.39
2022,1,MSCONHY2,Others,2,46,4.35
2022,1,MSCONHY2,Technology,34,46,73.91
2022,1,MSCONPU1,Business,1,14,7.14
2022,1,MSCONPU1,Consulting,10,14,71.43
2022,1,MSCONPU1,Management,2,14,14.29
2022,1,MSCONPU1,Others,1,14,7.14
2022,1,MSCPTRH5,Consulting,3,5,60.0
2022,1,MSCPTRH5,Others,1,5,20.0
2022,1,MSCPTRH5,Technology,1,5,20.0
2022,1,MSCPXOMS,Business,1,37,2.7
2022,1,MSCPXOMS,Management,1,37,2.7
2022,1,MSCPXOMS,Others,5,37,13.51
2022,1,MSCPXOMS,Technology,30,37,81.08
2022,1,MSCPXPH4,Consulting,1,1,100.0
2022,1,MSCPXSRE,Business,3,34,8.82
2022,1,MSCPXSRE,Consulting,4,34,11.76
2022,1,MSCPXSRE,Management,2,34,5.88
2022,1,MSCPXSRE,Others,4,34,11.76
2022,1,MSCPXSRE,Technology,21,34,61.76
2022,1,MSCRM1PP,Business,1,77,1.3
2022,1,MSCRM1PP,Management,7,77,9.09
2022,1,MSCRM1PP,Others,2,77,2.6
2022,1,MSCRM1PP,Technology,67,77,87.01
2022,1,MSCRM3PP,Management,6,38,15.79
2022,1,MSCRM3PP,Others,1,38,2.63
2022,1,MSCRM3PP,Technology,31,38,81.58
2022,1,MSCRMBTS,Consulting,1,45,2.22
2022,1,MSCRMBTS,Management,3,45,6.67
2022,1,MSCRMBTS,Others,12,45,26.67
2022,1,MSCRMBTS,Technology,29,45,64.44
2022,1,MSCRMCIP,Business,2,75,2.67
2022,1,MSCRMCIP,Consulting,1,75,1.33
2022,1,MSCRMCIP,Management,6,75,8.0
2022,1,MSCRMCIP,Technology,66,75,88.0
2022,1,MSCRMCPP,Consulting,2,92,2.17
2022,1,MSCRMCPP,Management,6,92,6.52
2022,1,MSCRMCPP,Others,3,92,3.26
2022,1,MSCRMCPP,Technology,81,92,88.04
2022,1,MSCRMFTP,Technology,7,7,100.0
2022,1,MSCRMOPD,Management,1,7,14.29
2022,1,MSCRMOPD,Technology,6,7,85.71
2022,1,MSCRMOPM,Business,2,21,9.52
2022,1,MSCRMOPM,Consulting,2,21,9.52
2022,1,MSCRMOPM,Technology,17,21,80.95
2022,1,MSCRMPSP,Management,2,6,33.33
2022,1,MSCRMPSP,Technology,4,6,66.67
2022,1,MSCSAHSP,Management,2,10,20.0
2022,1,MSCSAHSP,Technology,8,10,80.0
2022,1,MSCSCHZ3,Consulting,5,27,18.52
2022,1,MSCSCHZ3,Management,3,27,11.11
2022,1,MSCSCHZ3,Technology,19,27,70.37
2022,1,MSCSGAH3,Technology,4,4,100.0
2022,1,MSCSGAHS,Business,1,9,11.11
2022,1,MSCSGAHS,Management,1,9,11.11
2022,1,MSCSGAHS,Others,1,9,11.11
2022,1,MSCSGAHS,Technology,6,9,66.67
2022,1,MSCSME09,Business,1,15,6.67
2022,1,MSCSME09,Consulting,2,15,13.33
2022,1,MSCSME09,Management,3,15,20.0
2022,1,MSCSME09,Others,1,15,6.67
2022,1,MSCSME09,Technology,8,15,53.33
2022,1,MSCSME10,Consulting,7,52,13.46
2022,1,MSCSME10,Management,3,52,5.77
2022,1,MSCSME10,Others,5,52,9.62
2022,1,MSCSME10,Technology,37,52,71.15
2022,1,MSCSME11,Business,3,58,5.17
2022,1,MSCSME11,Consulting,7,58,12.07
2022,1,MSCSME11,Management,5,58,8.62
2022,1,MSCSME11,Others,1,58,1.72
2022,1,MSCSME11,Technology,42,58,72.41
2022,1,MSCSPFHS,Business,1,27,3.7
2022,1,MSCSPFHS,Others,1,27,3.7
2022,1,MSCSPFHS,Technology,25,27,92.59
2022,1,MSCSSHSP,Business,1,111,0.9
2022,1,MSCSSHSP,Consulting,5,111,4.5
2022,1,MSCSSHSP,Management,11,111,9.91
2022,1,MSCSSHSP,Others,4,111,3.6
2022,1,MSCSSHSP,Technology,90,111,81.08
2022,1,MSCSXHSP,Management,1,9,11.11
2022,1,MSCSXHSP,Technology,8,9,88.89
2022,1,MSCTEMCI,Consulting,1,1,100.0
2022,1,MSDMLRST,Technology,1,1,100.0
2022,1,MSDPM401,Consulting,1,1,100.0
2022,1,MSDSSTCS,Technology,1,1,100.0
2022,1,MSEAFICZ,Technology,1,1,100.0
2022,1,MSEAFIH3,Business,1,14,7.14
2022,1,MSEAFIH3,Consulting,8,14,57.14
2022,1,MSEAFIH3,Others,1,14,7.14
2022,1,MSEAFIH3,Technology,4,14,28.57
2022,1,MSEAFIM1,Business,1,15,6.67
2022,1,MSEAFIM1,Consulting,6,15,40.0
2022,1,MSEAFIM1,Management,2,15,13.33
2022,1,MSEAFIM1,Technology,6,15,40.0
2022,1,MSEAFIP1,Business,2,14,14.29
2022,1,MSEAFIP1,Consulting,3,14,21.43
2022,1,MSEAFIP1,Management,1,14,7.14
2022,1,MSEAFIP1,Technology,8,14,57.14
2022,1,MSEAFNH1,Consulting,2,2,100.0
2022,1,MSEASFIN,Business,1,17,5.88
2022,1,MSEASFIN,Consulting,3,17,17.65
2022,1,MSEASFIN,Management,3,17,17.65
2022,1,MSEASFIN,Others,3,17,17.65
2022,1,MSEASFIN,Technology,7,17,41.18
2022,1,MSEDAPH4,Consulting,3,4,75.0
2022,1,MSEDAPH4,Technology,1,4,25.0
2022,1,MSEDEMH3,Consulting,3,9,33.33
2022,1,MSEDEMH3,Management,1,9,11.11
2022,1,MSEDEMH3,Others,1,9,11.11
2022,1,MSEDEMH3,Technology,4,9,44.44
2022,1,MSEDPCH3,Consulting,1,1,100.0
2022,1,MSENGHSZ,Business,4,64,6.25
2022,1,MSENGHSZ,Consulting,19,64,29.69
2022,1,MSENGHSZ,Management,6,64,9.38
2022,1,MSENGHSZ,Others,4,64,6.25
2022,1,MSENGHSZ,Technology,31,64,48.44
2022,1,MSENGTSE,Technology,1,1,100.0
2022,1,MSEPICDS,Business,8,133,6.02
2022,1,MSEPICDS,Consulting,13,133,9.77
2022,1,MSEPICDS,Management,11,133,8.27
2022,1,MSEPICDS,Others,4,133,3.01
2022,1,MSEPICDS,Technology,97,133,72.93
2022,1,MSESCAH3,Business,1,17,5.88
2022,1,MSESCAH3,Consulting,2,17,11.76
2022,1,MSESCAH3,Management,1,17,5.88
2022,1,MSESCAH3,Others,2,17,11.76
2022,1,MSESCAH3,Technology,11,17,64.71
2022,1,MSESCAM2,Technology,1,1,100.0
2022,1,MSESCASP,Consulting,1,3,33.33
2022,1,MSESCASP,Others,1,3,33.33
2022,1,MSESCASP,Technology,1,3,33.33
2022,1,MSESN401,Others,1,1,100.0
2022,1,MSESSSTP,Management,3,30,10.0
2022,1,MSESSSTP,Others,3,30,10.0
2022,1,MSESSSTP,Technology,24,30,80.0
